update,mean_reward,success_rate,mean_episode_length,river_fall_rate,policy_loss,value_loss,entropy,maze_size
47,139.55300903320312,0.91,42.84,0.06,-0.0001579989620950073,318.7323417663574,1.1331286430358887,10
48,136.5180206298828,0.88,43.78,0.04,-0.0009125708602368832,609.8142051696777,1.191157951951027,10
49,131.2230224609375,0.84,46.71,0.06,0.003170896088704467,581.2664947509766,1.2060230821371078,10
50,126.41403198242188,0.82,50.94,0.07,0.009826966095715761,614.1129570007324,1.2210059762001038,10
51,117.95301818847656,0.78,49.01,0.1,0.0015959597658365965,588.5891876220703,1.2691870331764221,10
52,114.16800689697266,0.78,46.28,0.14,0.0066874390468001366,620.2856559753418,1.2343070656061172,10
53,110.6200180053711,0.76,45.05,0.15,-0.002955775707960129,621.1099090576172,1.2424468100070953,10
54,123.60301971435547,0.81,46.07,0.1,0.0064014027593657374,388.208215713501,1.1948158740997314,10
55,125.43102264404297,0.8,48.27,0.09,0.0024555185809731483,522.5577545166016,1.2440169751644135,10
56,127.43802642822266,0.81,50.44,0.08,0.011064597521908581,528.8964996337891,1.2963392436504364,10
57,118.93802642822266,0.74,51.71,0.08,0.002805613446980715,776.4160995483398,1.268515333533287,10
58,124.84101867675781,0.76,53.26,0.05,0.0008669407106935978,341.69049072265625,1.2824092954397202,10
59,134.34603881835938,0.8,55.28,0.03,0.003534641698934138,299.36451530456543,1.3336687535047531,10
60,133.00103759765625,0.77,59.2,0.03,0.0005896575748920441,543.8785257339478,1.3035793155431747,10
61,125.66002655029297,0.77,56.41,0.08,0.008861487032845616,748.1130065917969,1.2743161767721176,10
62,112.79702758789062,0.74,51.44,0.13,0.002835053950548172,520.8185272216797,1.2459260374307632,10
63,113.15301513671875,0.76,50.46,0.14,0.0009386949241161346,530.9109020233154,1.2390672713518143,10
64,122.19102478027344,0.79,51.27,0.1,0.014103480149060488,499.1037139892578,1.2495373636484146,10
65,130.3250274658203,0.79,51.91,0.05,0.0017591891810297966,621.3595695495605,1.236690640449524,10
66,139.28102111816406,0.83,50.36,0.01,0.007407019846141338,529.4406471252441,1.2422026842832565,10
67,138.89503479003906,0.81,52.69,0.0,0.011067887302488089,382.6686477661133,1.239100456237793,10
68,128.7210235595703,0.77,53.94,0.02,-0.00019292821525596082,500.401554107666,1.2393725663423538,10
69,127.55302429199219,0.76,53.32,0.03,0.0009045056067407131,441.00576972961426,1.2050533145666122,10
70,122.27902221679688,0.75,51.04,0.06,0.0037726829759776592,578.8310680389404,1.1576690673828125,10
71,117.93502807617188,0.77,48.86,0.09,0.0055411605280824006,615.5548839569092,1.1430707573890686,10
72,121.12601470947266,0.79,49.09,0.07,0.0032841614447534084,269.965763092041,1.1331775486469269,10
73,121.95902252197266,0.78,49.61,0.05,0.007357579888775945,499.13119888305664,1.0811398327350616,10
74,125.35702514648438,0.78,50.15,0.03,0.007496296660974622,489.8827896118164,1.130233719944954,10
75,122.91902160644531,0.75,50.44,0.05,0.010093425284139812,593.8829116821289,1.1559002995491028,10
76,130.0650177001953,0.79,48.77,0.05,0.00589084014063701,450.4644660949707,1.1356514245271683,10
77,134.16903686523438,0.82,48.81,0.04,-0.0025150531146209687,234.63679122924805,1.1230564713478088,10
78,138.72100830078125,0.84,49.57,0.01,0.00548749603331089,198.4655303955078,1.1036389917135239,10
79,135.12002563476562,0.83,49.09,0.02,0.005737347528338432,364.14322662353516,1.0311003178358078,10
80,139.34600830078125,0.86,48.56,0.02,0.008862776216119528,225.18698501586914,1.0743001401424408,10
